source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val,radius_val
4042295366608934912,269.3280588296768,1.4320369220115963,-34.35235753472009,1.1206339648991994,202.97321623980648,1.3724765555163019,19.803555,,,,NOT_AVAILABLE,,,,
4063260858497554688,271.5162442814916,0.9295673843933032,-26.81083088956081,0.83827449706547,203.03337388826077,1.411382312507105,19.55512,,,,NOT_AVAILABLE,,,,
4106602026246827136,279.61904867169125,1.5044020390564548,-11.717693097692177,1.6540190653362365,203.07375902392596,1.6771497521589758,20.338228,1.2959366,,,NOT_AVAILABLE,,,,
6005461321830879616,228.27478184362084,1.2843415184333635,-39.36866980867586,0.881663709878329,203.43471434711302,1.2802330791124334,19.934008,1.1535187,,,NOT_AVAILABLE,,,,
4116710553927206272,263.6544211869215,2.0952423550226764,-22.769063036054607,1.5748493988407697,203.6573007836551,1.8591956455817382,20.573477,,,,NOT_AVAILABLE,,,,
2004618127912718720,332.55031015830417,1.323750913138788,53.591869008766935,1.5875995982151674,203.84502339260888,1.6149977091467445,19.636696,1.3535442,,,NOT_AVAILABLE,,,,
778947608243864320,166.35292095513066,0.08723972805957841,43.525774119754225,0.09576365284725159,204.05915550532745,0.1687267091010533,12.274656,3.8689175,,,NOT_AVAILABLE,3293.0,0.3363,,
4040379746649186688,268.4133396612883,1.110067356914648,-36.25256352625696,1.2596207232594803,204.37562381399792,1.3987924774031686,20.237411,,,,NOT_AVAILABLE,,,,
4050957563917891968,272.71791954207384,0.5570202503032283,-27.80237600968126,0.6879174598037789,204.5787597552625,0.9059714574047089,19.199894,1.3514748,,,NOT_AVAILABLE,,,,
4064911431630945920,271.8975545926603,1.2268955594622626,-25.514812672273496,1.4647381437277767,204.95116148861243,1.7876297614135472,19.884531,,,,NOT_AVAILABLE,,,,
4041723315428440448,266.2045409878755,1.976986485330934,-34.522533027766386,1.9542232285179664,204.96636579427638,2.582717585753439,20.063433,,,,NOT_AVAILABLE,,,,
4049332004634012416,274.20904345670453,1.1265372770180493,-30.85324244502193,0.7823197494128385,205.01334464057032,1.3537087819534044,19.942026,1.2533474,,,NOT_AVAILABLE,,,,
