phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
19.87983,,,112.25889406786199
8.163064,9.372223,7.098206,112.36687869878432
19.666138,,,112.38845152827004
5.8554974,6.3889647,5.2330356,112.40048751874426
19.092302,,,112.43686215079049
13.206875,15.323529,11.4228,112.49358985474868
20.534286,19.81436,18.802399,112.55960021941708
15.926266,16.272833,15.283489,112.5653281106622
3.3684914,3.8125393,3.0698383,112.61088379234941
15.858983,19.317423,14.257748,112.63605235281489
19.715237,,,112.66797177519632
13.419701,,,112.67591154773608
19.374352,19.41344,17.732302,112.70051948133023
19.22247,,,112.72970952355118
10.280477,11.557377,9.193953,112.73723533609495
19.350595,,,112.95910245932838
20.556057,20.413815,18.72358,112.97960285520821
19.449696,,,112.99988259271433
5.8694224,6.4521265,5.2017007,113.02358882571852
10.665591,12.260366,9.465142,113.08969444521574
10.187084,11.720565,9.019214,113.11710151426976
9.371388,10.706459,8.258327,113.1205577721589
4.1788726,4.5611715,3.7920713,113.12402492796382
10.205118,11.70099,9.044758,113.14554479227753
19.998507,,,113.16284232868765
20.157501,,,113.16633049821729
20.413359,20.437778,18.364307,113.18308527299557
9.794256,11.026659,8.732737,113.20627126162574
20.319805,,,113.20732184494337
9.80244,11.032546,8.741893,113.34007877552304
9.224498,10.632148,8.085558,113.59996515905293
5.4532223,5.9543924,4.8848357,113.64807836084553
18.948122,18.428022,17.131891,113.69519981340993
20.107817,20.200686,18.803175,113.8056058447063
5.269504,5.722183,4.767901,113.81575770096393
19.511238,,,113.8514718428982
19.05026,,,113.85506229014382
8.848464,9.985539,7.8206153,114.13759229134239
20.459885,19.709871,18.547482,114.15801613697866
20.159369,,,114.29011148316695
6.217028,6.8200626,5.5304646,114.29676344006111
19.451408,,,114.3607225300555
12.590157,14.716456,11.237545,114.40069902504561
9.088786,10.347557,8.015388,114.41484421782016
17.518635,21.099138,15.868956,114.41666271874418
20.268858,,,114.44323918481842
19.714151,,,114.46558608888228
4.594314,7.022504,3.8097472,114.48666991814468
19.300764,,,114.67261130376984
20.189978,20.11012,17.929468,114.77159213233254
10.906408,12.541436,9.697702,115.03389445776632
11.579809,13.376092,10.318857,115.1985493039719
15.908699,19.082827,14.333307,115.30359264151424
11.109434,13.199355,9.784968,115.39973571786143
19.353868,,,115.46691813622323
20.683264,20.631474,18.940575,115.47505853805562
19.869562,20.54176,18.401312,115.56310250442353
13.092048,15.421047,11.7027,115.75756164338753
19.465849,19.671528,17.874233,115.7917608458945
