source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val
3312903580452944640,67.2122239494725,0.12051739297361781,16.288358786313097,0.05139322285547643,20.807791213408443,0.12187248621352778,14.512005,,,,"NOT_AVAILABLE",,,
3311229745799686912,65.75677247510198,0.07923840810477316,15.228123932794437,0.047313744731333165,20.81681967572549,0.08127291155350609,15.172077,3.0793295,,,"NOT_AVAILABLE",3715.4033,0.3105,
3311492803955469696,63.79387786396172,0.03675796947766816,14.398376403602475,0.02315646550826317,20.827641961909254,0.03830326610013824,10.930037,1.7158632,37.622396942690926,0.17492186415532188,"NOT_AVAILABLE",4229.0127,0.7695,0.106137685
3311221224584455936,65.68438728285759,0.06907416826371894,15.056331753563152,0.04506064059910666,20.834176005078046,0.07520762615377852,8.326752,0.74316645,,,"NOT_AVAILABLE",5095.6333,,
3312744219987686144,67.1660648035275,0.32242641846282416,15.870787200425978,0.23289782147443203,20.835393772051187,0.3730883263473064,3.3066013,0.44699264,,,"NOT_AVAILABLE",6561.0,,79.90247
3309976405623744256,69.60786442980779,0.05878656135009653,15.886366955245146,0.028202316990211716,20.837630111946805,0.07194743775849363,13.494205,2.7438564,,,"VARIABLE",3913.2876,0.5835,
3311179340062227200,66.5203704878719,0.08240318261554753,15.040798342833309,0.03247311284010828,20.887250220252326,0.09667160859150385,14.712532,,,,"NOT_AVAILABLE",,,
3309918646903563264,69.74411994206365,0.10668186926254719,15.66135051322312,0.055313775791065514,20.894463625741324,0.14456597502277524,16.750904,3.6631556,,,"NOT_AVAILABLE",3499.0,,
3313714023603261568,67.1646711766005,0.0558147448045214,16.969909718210697,0.02561617767423423,20.89519415434072,0.05665596657406142,14.074879,-0.37547112,,,"NOT_AVAILABLE",8868.667,,
3311179340063437952,66.52006217338075,0.06759074393377572,15.041288135214499,0.03278595470696823,20.895477790082012,0.07911514717471141,11.466524,1.9078102,39.098860553219026,0.9500018225493669,"NOT_AVAILABLE",4007.2275,0.08,0.07351485
3309978501567767808,69.61595115856572,0.1267512444814233,16.002912861379507,0.06332737336468543,20.91725868781979,0.15738370693665044,17.04982,3.754836,,,"NOT_AVAILABLE",3899.28,0.428,
3312709379213017728,66.90001675705912,0.054660829018799845,15.589088761900785,0.024303891789053553,20.92477767028886,0.06445392272994237,7.2737737,0.6998453,39.394460726317526,0.15684136340961485,"NOT_AVAILABLE",6148.3335,0.2203,2.0618024
3312536923393893120,67.53642816777317,0.07881970766559457,15.638142821447705,0.038194325997617275,20.93428184885198,0.06908912048971064,7.868944,1.2252197,,,"NOT_AVAILABLE",5143.45,,
3311221224583178368,65.68456777616437,0.043105292975022455,15.056036296455835,0.028089275528479125,20.93938367556897,0.04601717659114027,7.112618,0.8145399,,,"NOT_AVAILABLE",5779.3335,,2.4256353
3313173957237081984,69.38445693842452,0.11671226346771825,16.75856973397436,0.05845498809448486,20.940133708713187,0.14290327553710677,14.529086,3.1935787,,,"NOT_AVAILABLE",3734.6335,,
3314137846679343872,68.03365043148166,0.06212781355976969,17.664348320159487,0.02964003137620264,20.95368966060986,0.07601636405730136,14.008977,2.8423252,,,"NOT_AVAILABLE",4492.24,0.5337,
45770783575075968,63.895678283321935,0.05294723860258214,16.7622909799639,0.03644281581943572,20.955075268779787,0.057906169848863424,13.998815,2.740881,,,"NOT_AVAILABLE",4113.16,0.168,
47803952373768960,64.01544265823308,0.10070416169917801,18.85907972302363,0.045498095090728705,20.96126722051312,0.11769647353718236,13.0,2.509923,,,"NOT_AVAILABLE",3892.4226,0.4665,
3309974344039455488,69.54441639026709,0.057051045967571046,15.821386639231237,0.028061770339550308,20.99969682278615,0.06887042480212215,14.414691,2.9229136,,,"NOT_AVAILABLE",3692.38,,
3311934086075988864,64.46559686579155,0.05812659942410229,15.227066463357511,0.03838118623335799,21.00398356796783,0.06439491917846847,14.246441,2.8855972,,,"NOT_AVAILABLE",3937.0574,0.325,
3312348872541805184,64.22746554356954,0.046043978588753275,16.356809594949016,0.029048826054185933,21.006382887593446,0.05242617615364697,13.207776,2.5627975,,,"NOT_AVAILABLE",3893.0,0.366,
3312425769635942656,67.5138090928648,0.05426712582097805,14.903577845041712,0.023661599574107982,21.019230291579213,0.05247821345187192,11.690509,1.8887959,-21.257931752762236,0.5484624674922193,"NOT_AVAILABLE",4094.0,0.227,
3310615565476268032,65.22014244064329,0.06295244971624996,13.86437258154713,0.03786947248625617,21.051809776617613,0.07686839983671477,6.0325947,0.60096216,,,"NOT_AVAILABLE",6503.75,1.0675,6.357113
3310640648085373824,64.44920908980205,0.048343328122292896,13.661707173013749,0.029831861228949045,21.074309101023143,0.05294255659835863,11.770251,2.0850487,38.04974232290917,0.3763523754181297,"NOT_AVAILABLE",3702.0,0.828,0.06700034
3313579505227558528,66.31934672440356,0.06981580314944334,16.302237261839476,0.0335641194384342,21.11009359935748,0.07981500878692412,15.028309,3.0637484,,,"NOT_AVAILABLE",3675.6667,0.2567,
